timestamp,open,high,low,close,volume
2025-06-09 09:15:00,55468.0,55481.42,55393.03,55419.86,180390
2025-06-09 09:30:00,55419.86,55429.88,55419.33,55428.82,128497
2025-06-09 09:45:00,55428.82,55528.7,55414.02,55499.07,113870
2025-06-09 10:00:00,55499.07,55509.06,55450.3,55470.25,79925
2025-06-09 10:15:00,55470.25,55550.43,55458.74,55527.39,98015
2025-06-09 10:30:00,55527.39,55560.07,55523.79,55552.88,57362
2025-06-09 10:45:00,55552.88,55629.98,55541.88,55607.97,94708
2025-06-09 11:00:00,55607.97,55619.6,55606.03,55615.72,64814
2025-06-09 11:15:00,55615.72,55635.67,55496.08,55535.92,62291
2025-06-09 11:30:00,55535.92,55587.22,55527.37,55570.11,95318
2025-06-09 11:45:00,55570.11,55573.42,55550.3,55556.9,93440
2025-06-09 12:00:00,55556.9,55571.89,55467.02,55496.96,88907
2025-06-09 12:15:00,55496.96,55540.52,55489.7,55526.0,64428
2025-06-09 12:30:00,55526.0,55528.07,55513.57,55517.71,103344
2025-06-09 12:45:00,55517.71,55522.46,55489.24,55498.73,62258
2025-06-09 13:00:00,55498.73,55499.44,55494.45,55495.88,89804
2025-06-09 13:15:00,55495.88,55660.49,55468.46,55605.55,76861
2025-06-09 13:30:00,55605.55,55616.21,55541.59,55562.9,79607
2025-06-09 13:45:00,55562.9,55570.23,55518.94,55533.59,83326
2025-06-09 14:00:00,55533.59,55586.94,55208.38,55314.66,88764
2025-06-09 14:15:00,55314.66,55327.63,55231.31,55257.23,62371
2025-06-09 14:30:00,55257.23,55259.2,55239.88,55243.82,91684
2025-06-09 14:45:00,55243.82,55271.06,55074.98,55129.34,77502
2025-06-09 15:00:00,55129.34,55230.44,54518.71,54719.41,105710
2025-06-09 15:15:00,54719.41,54762.51,54455.67,54541.57,94127
2025-06-09 15:30:00,54541.57,54630.2,54005.54,54181.62,137565
2025-06-10 09:15:00,54181.62,54203.56,54055.45,54099.27,187356
2025-06-10 09:30:00,54099.27,54170.44,53683.76,53825.39,157914
2025-06-10 09:45:00,53825.39,53956.4,53805.36,53916.27,131395
2025-06-10 10:00:00,53916.27,54019.68,53900.84,53988.78,80398
2025-06-10 10:15:00,53988.78,54181.41,53958.5,54120.7,81252
2025-06-10 10:30:00,54120.7,54244.62,54101.86,54206.88,98038
2025-06-10 10:45:00,54206.88,54221.75,54128.58,54158.28,68062
2025-06-10 11:00:00,54158.28,54167.86,54156.68,54164.66,90713
2025-06-10 11:15:00,54164.66,54179.61,54075.01,54104.87,71186
2025-06-10 11:30:00,54104.87,54121.8,54003.35,54037.16,80438
2025-06-10 11:45:00,54037.16,54061.65,54033.08,54053.48,101422
2025-06-10 12:00:00,54053.48,54055.82,54039.46,54044.14,76203
2025-06-10 12:15:00,54044.14,54073.08,54039.31,54063.43,100650
2025-06-10 12:30:00,54063.43,54088.0,54059.33,54079.81,72042
2025-06-10 12:45:00,54079.81,54090.05,54018.38,54038.84,83735
2025-06-10 13:00:00,54038.84,54168.03,54017.32,54124.93,102805
2025-06-10 13:15:00,54124.93,54157.48,54119.5,54146.62,64536
2025-06-10 13:30:00,54146.62,54147.18,54143.26,54144.38,82158
2025-06-10 13:45:00,54144.38,54150.0,54110.66,54121.9,79806
2025-06-10 14:00:00,54121.9,54124.47,54101.04,54106.19,70593
2025-06-10 14:15:00,54106.19,54126.63,53978.19,54019.01,75722
2025-06-10 14:30:00,54019.01,54306.81,53970.2,54208.85,81275
2025-06-10 14:45:00,54208.85,54266.15,53860.1,53974.21,97991
2025-06-10 15:00:00,53974.21,54046.51,53535.79,53679.6,133027
2025-06-10 15:15:00,53679.6,53697.15,53569.03,53604.07,139290
2025-06-10 15:30:00,53604.07,53690.67,53588.75,53659.99,94340
2025-06-11 09:15:00,53659.99,53663.98,53641.45,53649.42,157827
2025-06-11 09:30:00,53649.42,53688.63,53644.67,53679.13,161220
2025-06-11 09:45:00,53679.13,53689.96,53624.89,53646.54,105384
2025-06-11 10:00:00,53646.54,53829.12,53617.92,53771.75,95103
2025-06-11 10:15:00,53771.75,53786.64,53693.18,53722.94,82448
2025-06-11 10:30:00,53722.94,53774.71,53716.1,53761.03,84672
2025-06-11 10:45:00,53761.03,53906.66,53738.56,53861.65,100778
2025-06-11 11:00:00,53861.65,53920.14,53851.9,53900.63,87602
2025-06-11 11:15:00,53900.63,54109.99,53865.77,54040.08,96883
2025-06-11 11:30:00,54040.08,54047.09,53998.05,54012.06,74333
2025-06-11 11:45:00,54012.06,54029.83,53905.48,53940.97,92791
2025-06-11 12:00:00,53940.97,53945.67,53912.77,53922.17,103189
2025-06-11 12:15:00,53922.17,53924.47,53908.4,53912.99,78382
2025-06-11 12:30:00,53912.99,54079.29,53885.29,54023.78,93162
2025-06-11 12:45:00,54023.78,54040.49,53923.6,53956.96,67845
2025-06-11 13:00:00,53956.96,53993.17,53950.93,53981.1,91961
2025-06-11 13:15:00,53981.1,54037.14,53971.76,54018.45,101520
2025-06-11 13:30:00,54018.45,54042.38,53874.96,53922.73,94272
2025-06-11 13:45:00,53922.73,53942.36,53919.46,53935.82,87599
2025-06-11 14:00:00,53935.82,53945.84,53870.29,53890.32,82506
2025-06-11 14:15:00,53890.32,53968.04,53876.47,53940.32,88609
2025-06-11 14:30:00,53940.32,53976.57,53717.64,53789.93,61444
2025-06-11 14:45:00,53789.93,53923.49,53766.79,53877.13,78452
